date,time_id,v0_num_traj
41330,6,29
41330,7,137
41330,8,265
41330,9,300
41330,10,194
41330,11,93
41330,12,90
41330,13,86
41330,14,87
41330,15,76
41330,16,54
41330,17,36
41330,18,52
41330,19,82
41330,20,37
41330,21,20
41330,22,9
41330,23,5
41330,24,3
41331,6,23
41331,7,134
41331,8,260
41331,9,311
41331,10,149
41331,11,95
41331,12,116
41331,13,68
41331,14,64
41331,15,73
41331,16,34
41331,17,51
41331,18,78
41331,19,62
41331,20,34
41331,21,34
41331,22,31
41331,23,26
41331,24,10
41332,6,24
41332,7,100
41332,8,318
41332,9,267
41332,10,124
41332,11,105
41332,12,98
41332,13,89
41332,14,78
41332,15,53
41332,16,52
41332,17,38
41332,18,65
41332,19,97
41332,20,46
41332,21,17
41332,22,24
41332,23,16
41332,24,4
41333,6,26
41333,7,124
41333,8,309
41333,9,294
41333,10,157
41333,11,125
41333,12,100
41333,13,94
41333,14,101
41333,15,73
41333,16,51
41333,17,60
41333,18,63
41333,19,61
41333,20,30
41333,21,27
41333,22,30
41333,23,20
41333,24,12
41334,6,20
41334,7,115
41334,8,292
41334,9,248
41334,10,142
41334,11,132
41334,12,110
41334,13,115
41334,14,94
41334,15,71
41334,16,72
41334,17,55
41334,18,83
41334,19,79
41334,20,60
41334,21,35
41334,22,21
41334,23,36
41334,24,7
41335,1,20
41335,6,1
41335,7,33
41335,8,68
41335,9,189
41335,10,213
41335,11,216
41335,12,192
41335,13,184
41335,14,168
41335,15,138
41335,16,113
41335,17,127
41335,18,161
41335,19,113
41335,20,67
41335,21,50
41335,22,47
41335,23,54
41335,24,31
41336,1,7
41336,3,1
41336,5,1
41336,6,1
41336,7,32
41336,8,32
41336,9,90
41336,10,192
41336,11,208
41336,12,230
41336,13,262
41336,14,208
41336,15,142
41336,16,157
41336,17,102
41336,18,140
41336,19,131
41336,20,66
41336,21,57
41336,22,35
41336,23,43
41336,24,19
41342,1,11
41343,1,14
41342,2,2
41343,2,4
41342,3,1
41343,3,2
41342,4,1
41343,4,1
41343,5,1
41337,6,29
41338,6,20
41339,6,20
41340,6,21
41341,6,24
41343,6,2
41337,7,124
41338,7,123
41339,7,135
41340,7,126
41341,7,119
41342,7,27
41343,7,28
41337,8,264
41338,8,259
41339,8,288
41340,8,267
41341,8,302
41342,8,73
41343,8,50
41337,9,318
41338,9,298
41339,9,296
41340,9,234
41341,9,267
41342,9,136
41343,9,115
41337,10,166
41338,10,134
41339,10,148
41340,10,162
41341,10,154
41342,10,158
41343,10,196
41337,11,98
41338,11,109
41339,11,100
41340,11,104
41341,11,94
41342,11,147
41343,11,182
41337,12,97
41338,12,71
41339,12,88
41340,12,100
41341,12,88
41342,12,176
41343,12,217
41337,13,87
41338,13,73
41339,13,67
41340,13,87
41341,13,64
41342,13,176
41343,13,228
41337,14,70
41338,14,84
41339,14,70
41340,14,67
41341,14,56
41342,14,148
41343,14,179
41337,15,66
41338,15,65
41339,15,55
41340,15,57
41341,15,55
41342,15,148
41343,15,174
41337,16,43
41338,16,52
41339,16,59
41340,16,42
41341,16,69
41342,16,115
41343,16,121
41337,17,47
41338,17,40
41339,17,24
41340,17,56
41341,17,60
41342,17,124
41343,17,139
41337,18,61
41338,18,53
41339,18,59
41340,18,77
41341,18,91
41342,18,155
41343,18,178
41337,19,66
41338,19,70
41339,19,54
41340,19,74
41341,19,110
41342,19,152
41343,19,96
41337,20,32
41338,20,29
41339,20,49
41340,20,42
41341,20,62
41342,20,111
